Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
20,male,2,own,,little,2996,24,furniture/equipment
29,male,3,rent,moderate,moderate,9034,36,furniture/equipment
40,male,2,own,little,,1585,24,furniture/equipment
32,male,1,own,little,moderate,1301,18,radio/TV
28,male,2,own,moderate,rich,1323,6,car
27,female,2,own,little,little,3123,24,car
42,male,2,free,little,little,5493,36,car
49,male,2,own,moderate,rich,1126,9,radio/TV
38,male,2,own,moderate,moderate,1216,24,radio/TV
24,female,2,rent,little,little,1207,24,car
27,male,1,own,,,1309,10,car
36,male,2,own,quite rich,rich,2360,15,car
34,male,3,own,moderate,moderate,6850,15,car
28,male,2,own,little,,1413,24,radio/TV
45,male,3,own,moderate,,8588,39,car
26,male,2,own,little,little,759,12,car
32,male,3,free,little,,4686,36,car
26,male,2,rent,little,rich,2687,15,business
20,male,2,rent,little,moderate,585,12,radio/TV
54,male,2,own,,,2255,24,car
37,female,2,own,little,little,609,6,car
40,male,1,own,little,little,1361,6,car
23,female,2,rent,little,,7127,36,furniture/equipment
43,male,2,own,moderate,little,1203,6,car
36,male,2,free,,,700,6,radio/TV
44,male,2,free,little,,5507,24,repairs
24,female,2,own,little,little,3190,18,radio/TV
53,male,2,free,little,little,7119,48,furniture/equipment
23,female,2,own,moderate,,3488,24,car
26,female,1,own,little,moderate,1113,18,radio/TV
30,male,2,own,little,moderate,7966,26,car
31,female,2,own,moderate,,1532,15,education
42,male,1,own,little,,1503,4,radio/TV
31,male,2,rent,little,little,2302,36,radio/TV
41,male,1,own,little,little,662,6,car
32,male,2,own,little,moderate,2273,36,education
28,female,2,rent,moderate,moderate,2631,15,car
41,male,2,rent,little,,1503,12,car
26,male,2,own,moderate,,1311,24,radio/TV
25,male,2,own,,,3105,24,radio/TV
33,male,2,rent,little,rich,2319,21,education
75,female,3,own,,little,1374,6,car
37,female,2,own,little,moderate,3612,18,furniture/equipment
42,male,3,free,little,little,7763,48,car
45,female,1,own,little,rich,3049,18,furniture/equipment
23,male,2,rent,little,moderate,1534,12,radio/TV
60,male,2,free,little,,2032,24,car
31,male,2,own,,little,6350,30,furniture/equipment
34,male,1,own,little,rich,2864,18,furniture/equipment
61,male,1,own,little,,1255,12,car
43,male,2,free,little,little,1333,24,car
37,female,2,own,little,,2022,24,car
32,male,2,own,little,,1552,24,radio/TV
24,female,1,own,little,little,626,12,radio/TV
35,male,2,free,,,8858,48,car
23,female,2,own,,,996,12,repairs
45,male,1,own,quite rich,,1750,6,radio/TV
34,male,2,own,little,little,6999,48,radio/TV
27,male,2,own,moderate,moderate,1995,12,car
67,female,3,own,little,moderate,1199,9,education
22,male,2,own,little,moderate,1331,12,radio/TV
28,female,2,own,moderate,moderate,2278,18,car
29,female,2,own,,,5003,21,car
27,male,2,own,little,little,3552,24,furniture/equipment
31,male,1,own,little,moderate,1928,18,furniture/equipment
49,male,2,free,,little,2964,24,car
24,male,1,rent,little,little,1546,24,radio/TV
29,female,2,own,little,rich,683,6,radio/TV
37,male,2,free,,moderate,12389,36,car
37,male,3,own,,moderate,4712,24,business
23,female,2,rent,moderate,moderate,1553,24,radio/TV
36,male,2,own,little,little,1372,12,car
34,male,2,own,rich,,2578,24,radio/TV
41,male,2,own,,moderate,3979,48,radio/TV
31,female,2,own,little,little,6758,48,radio/TV
23,female,1,rent,little,little,3234,24,furniture/equipment
38,male,2,own,little,,5954,30,radio/TV
26,female,3,rent,,,5433,24,car
22,female,1,own,little,little,806,15,business
27,male,1,own,little,moderate,1082,9,radio/TV
24,female,2,own,little,,2788,15,furniture/equipment
27,female,2,own,little,moderate,2930,12,radio/TV
33,female,2,own,,,1927,24,education
27,male,2,own,little,moderate,2820,36,car
27,male,1,own,little,,937,24,education
30,male,2,own,little,moderate,1056,18,car
49,male,1,own,little,moderate,3124,12,car
26,female,2,rent,little,,1388,9,furniture/equipment
33,male,1,rent,little,moderate,2384,36,repairs
52,female,3,free,,,2133,12,car
20,female,2,rent,little,little,2039,18,furniture/equipment
36,male,2,rent,little,little,2799,9,car
21,male,1,own,little,little,1289,12,furniture/equipment
47,male,1,own,little,little,1217,18,domestic appliances
60,male,2,own,little,little,2246,12,furniture/equipment
58,female,1,own,little,little,385,12,radio/TV
42,female,2,rent,,moderate,1965,24,car
36,female,1,own,rich,,1572,21,business
20,female,1,rent,little,moderate,2718,24,car
40,male,3,own,,little,1358,24,vacation/others
32,female,1,own,moderate,moderate,931,6,car
23,female,2,rent,little,little,1442,24,car
36,male,1,own,little,moderate,4241,24,business
31,male,2,own,little,,2775,18,car
32,male,2,free,little,,3863,24,business
45,female,2,own,little,moderate,2329,7,radio/TV
30,female,2,own,little,moderate,918,9,furniture/equipment
34,female,1,free,little,moderate,1837,24,education
28,female,3,own,little,,3349,36,furniture/equipment
23,female,2,own,little,rich,1275,10,furniture/equipment
22,male,2,own,quite rich,little,2828,24,furniture/equipment
74,male,3,own,little,,4526,24,business
50,female,2,free,moderate,moderate,2671,36,radio/TV
33,male,2,own,little,,2051,18,radio/TV
45,male,2,free,,,1300,15,car
22,female,2,own,moderate,little,741,12,domestic appliances
48,female,1,free,moderate,rich,1240,10,car
29,female,2,own,rich,little,3357,21,radio/TV
22,female,2,rent,little,little,3632,24,car
22,female,2,own,little,,1808,18,furniture/equipment
48,male,3,own,,moderate,12204,48,business
27,male,3,free,,moderate,9157,60,radio/TV
37,male,2,rent,little,little,3676,6,car
21,female,2,rent,moderate,moderate,3441,30,furniture/equipment
49,male,1,own,little,,640,12,car
27,male,2,own,little,moderate,3652,21,business
32,male,2,own,little,,1530,18,car
38,male,2,own,,,3914,48,business
22,female,2,rent,little,little,1858,12,furniture/equipment
65,male,2,free,little,little,2600,18,radio/TV
35,male,2,own,,,1979,15,radio/TV
41,male,2,own,little,rich,2116,6,furniture/equipment
29,male,2,own,moderate,moderate,1437,9,car
36,male,2,own,quite rich,,4042,42,furniture/equipment
64,male,1,own,,,3832,9,education
28,female,2,own,little,little,3660,24,radio/TV
44,male,2,own,little,little,1553,18,furniture/equipment
23,male,2,own,,moderate,1444,15,radio/TV
19,female,2,rent,little,,1980,9,furniture/equipment
25,female,1,own,little,moderate,1355,24,car
47,male,2,own,little,,1393,12,education
28,female,2,own,quite rich,,1376,24,radio/TV
21,male,2,own,little,,15653,60,radio/TV
34,female,2,own,little,,1493,12,radio/TV
26,male,2,own,little,little,4370,42,radio/TV
27,female,0,own,little,little,750,18,education
38,male,1,own,little,moderate,1308,15,repairs
40,male,3,own,moderate,,4623,15,education
33,male,2,own,little,,1851,24,radio/TV
32,male,3,own,little,little,1880,18,radio/TV
27,male,2,rent,,,7980,36,business
32,male,2,own,little,little,4583,30,furniture/equipment
26,female,2,own,quite rich,,1386,12,car
38,male,2,free,little,rich,947,24,car
40,male,1,rent,little,little,684,12,education
50,male,3,free,little,little,7476,48,education
37,male,1,own,little,moderate,1922,12,furniture/equipment
45,male,2,own,little,little,2303,24,car
42,male,3,own,moderate,moderate,8086,36,car
35,male,2,own,little,,2346,24,car
22,male,2,free,little,little,3973,14,car
41,male,1,own,little,moderate,888,12,car
37,male,2,own,,,10222,48,radio/TV
28,female,2,own,little,moderate,4221,30,business
41,male,2,own,little,moderate,6361,18,furniture/equipment
23,male,2,rent,little,rich,1297,12,radio/TV
23,male,2,own,,little,900,12,car
50,male,2,own,little,,2241,21,furniture/equipment
35,male,3,own,little,moderate,1050,6,furniture/equipment
50,female,1,own,little,rich,1047,6,education
27,male,3,own,little,,6314,24,vacation/others
34,male,2,own,rich,moderate,3496,30,furniture/equipment
27,female,2,own,little,,3609,48,business
43,male,2,rent,little,little,4843,12,car
47,male,2,own,little,rich,3017,30,radio/TV
27,male,1,own,moderate,,4139,24,business
31,male,2,own,moderate,,5742,36,business
42,male,3,own,little,,10366,60,car
24,male,2,own,quite rich,,2080,6,car
41,male,1,own,quite rich,,2580,21,business
26,female,3,rent,little,,4530,30,radio/TV
33,male,2,own,little,,5150,24,furniture/equipment
24,male,2,own,moderate,moderate,5595,72,radio/TV
64,male,1,rent,little,little,2384,24,radio/TV
26,female,2,own,little,,1453,18,radio/TV
56,female,2,own,little,,1538,6,education
37,male,2,free,,,2279,12,radio/TV
33,male,2,own,little,,1478,15,radio/TV
47,male,2,free,little,,5103,24,radio/TV
31,male,1,own,moderate,moderate,9857,36,business
34,male,2,free,,,6527,60,car
27,male,2,own,,rich,1347,10,radio/TV
30,male,2,free,moderate,moderate,2862,36,car
35,male,2,own,moderate,,2753,9,radio/TV
31,male,2,own,rich,little,3651,12,car
25,male,2,own,little,little,975,15,furniture/equipment
25,female,1,own,moderate,moderate,2631,15,repairs
29,male,2,own,moderate,moderate,2896,24,radio/TV
44,male,1,own,,little,4716,6,car
28,male,2,own,little,,2284,24,radio/TV
50,male,2,rent,quite rich,,1236,6,car
29,male,2,own,little,moderate,1103,12,radio/TV
38,female,0,own,little,,926,12,car
24,male,2,own,little,,1800,18,radio/TV
40,male,3,rent,little,rich,1905,15,education
29,female,1,rent,quite rich,,1123,12,furniture/equipment
46,male,2,free,little,little,6331,48,car
47,female,2,free,moderate,rich,1377,24,radio/TV
41,male,2,own,moderate,moderate,2503,30,business
32,female,2,own,little,moderate,2528,27,business
35,female,2,free,quite rich,,5324,15,car
24,male,2,own,moderate,moderate,6560,48,car
25,female,2,rent,little,moderate,2969,12,furniture/equipment
25,female,2,own,little,moderate,1206,9,radio/TV
37,male,1,own,little,moderate,2118,9,radio/TV
32,male,3,own,quite rich,,629,18,radio/TV
35,female,2,free,little,little,1198,6,education
46,male,3,own,,,2476,21,car
25,male,1,own,little,little,1138,9,radio/TV
27,male,3,own,little,moderate,14027,60,car
63,male,2,own,,,7596,30,car
40,male,2,own,,,3077,30,radio/TV
32,male,3,free,little,,1505,18,radio/TV
31,male,2,own,,rich,3148,24,radio/TV
31,male,2,own,moderate,moderate,6148,20,car
34,male,3,own,little,rich,1337,9,radio/TV
24,female,2,rent,rich,moderate,433,6,education
24,female,1,own,little,little,1228,12,car
66,female,1,own,quite rich,moderate,790,9,radio/TV
21,female,2,rent,little,,2570,27,car
41,female,1,own,rich,,250,6,car
47,male,1,own,quite rich,,1316,15,radio/TV
25,female,2,rent,little,little,1882,18,radio/TV
59,female,2,rent,little,moderate,6416,48,business
36,male,2,own,rich,rich,1275,24,business
33,male,2,own,little,moderate,6403,24,radio/TV
21,male,1,rent,little,little,1987,24,radio/TV
44,female,1,own,little,moderate,760,8,radio/TV
28,female,2,rent,rich,,2603,24,car
37,female,2,own,little,,3380,4,car
29,female,0,own,,moderate,3990,36,domestic appliances
23,female,3,rent,little,moderate,11560,24,car
35,male,1,own,moderate,little,4380,18,car
45,male,3,own,little,,6761,6,car
26,female,1,rent,moderate,moderate,4280,30,business
32,male,2,own,moderate,little,2325,24,car
23,male,1,own,little,moderate,1048,10,radio/TV
41,male,2,own,,,3160,21,radio/TV
22,male,2,own,quite rich,little,2483,24,furniture/equipment
30,male,3,own,,little,14179,39,furniture/equipment
28,male,1,own,little,little,1797,13,business
23,female,2,rent,little,little,2511,15,car
37,female,1,own,little,little,1274,12,car
26,male,2,own,,,5248,21,car
33,male,2,own,little,,3029,15,car
49,female,2,own,little,little,428,6,furniture/equipment
23,female,1,own,little,little,976,18,car
23,female,1,rent,moderate,moderate,841,12,business
25,female,2,own,little,,5771,30,radio/TV
55,male,2,free,rich,,1555,12,repairs
32,female,2,rent,,little,1285,24,car
74,male,0,own,little,rich,1299,6,car
39,male,2,free,,rich,1271,15,radio/TV
31,male,2,own,little,,1393,24,car
35,male,2,own,little,little,691,12,car
59,female,2,own,,,5045,15,car
24,female,2,rent,little,little,2124,18,furniture/equipment
24,male,1,own,little,little,2214,12,radio/TV
30,male,3,free,,,12680,21,car
27,male,2,own,moderate,,2463,24,car
40,male,1,own,little,moderate,1155,12,radio/TV
31,male,1,own,little,little,3108,30,furniture/equipment
31,female,2,rent,,,2901,10,car
28,male,2,rent,little,moderate,3617,12,furniture/equipment
63,male,1,own,little,,1655,12,radio/TV
26,female,2,rent,,little,2812,24,car
25,female,3,own,little,little,8065,36,education
36,male,3,own,little,,3275,21,car
52,male,2,own,moderate,,2223,24,radio/TV
66,male,0,free,quite rich,rich,1480,12,car
25,female,2,rent,,little,1371,24,car
37,male,2,own,little,,3535,36,car
25,female,2,own,little,little,3509,18,radio/TV
38,male,3,own,rich,,5711,36,car
67,female,2,own,little,moderate,3872,18,repairs
25,male,2,own,little,moderate,4933,39,radio/TV
60,male,2,own,rich,,1940,24,car
31,male,1,own,little,moderate,1410,12,education
23,female,1,own,moderate,moderate,836,12,car
60,male,3,own,,moderate,6468,20,car
35,male,1,own,rich,moderate,1941,18,business
40,male,2,own,quite rich,,2675,22,radio/TV
38,male,2,own,,,2751,48,car
50,male,2,free,little,moderate,6224,48,education
27,male,2,own,little,little,5998,40,education
39,female,2,own,little,moderate,1188,21,business
41,male,3,own,,,6313,24,car
27,male,2,own,,,1221,6,furniture/equipment
51,male,2,free,little,rich,2892,24,furniture/equipment
32,male,2,rent,quite rich,,3062,24,furniture/equipment
22,female,2,rent,moderate,,2301,9,furniture/equipment
51,male,2,free,,little,7511,18,car
22,female,1,rent,little,,1258,12,furniture/equipment
54,male,2,own,,,717,24,car
35,male,0,own,,moderate,1549,9,car
54,male,2,free,little,,1597,24,education
48,female,1,rent,little,moderate,1795,18,radio/TV
24,female,2,own,little,little,4272,20,furniture/equipment
35,male,2,own,,,976,12,radio/TV
24,female,0,rent,,moderate,7472,12,car
24,male,2,own,little,little,9271,36,car
26,male,1,own,little,moderate,590,6,radio/TV
65,male,2,own,,,930,12,radio/TV
55,male,3,free,little,moderate,9283,42,car
26,female,0,rent,little,moderate,1778,15,car
26,male,2,own,little,moderate,907,8,business
28,male,1,own,little,moderate,484,6,radio/TV
24,male,2,own,little,little,9629,36,car
54,male,2,own,little,little,3051,48,domestic appliances
46,male,2,free,little,little,3931,48,car
54,female,2,rent,little,moderate,7432,36,car
62,male,2,own,quite rich,,1338,6,domestic appliances
24,female,2,rent,little,,1554,6,radio/TV
43,male,3,own,little,little,15857,36,vacation/others
26,male,2,own,little,little,1345,18,radio/TV
27,male,2,own,little,,1101,12,car
24,male,2,own,little,rich,3016,12,radio/TV
41,male,2,own,little,little,2712,36,furniture/equipment
47,male,1,own,little,little,731,8,car
35,male,3,own,little,,3780,18,furniture/equipment
30,male,2,own,little,little,1602,21,car
33,female,2,rent,little,little,3966,18,car
36,male,2,own,little,,4165,18,business
47,male,2,free,,little,8335,36,car
38,male,2,free,,moderate,6681,48,business
44,male,2,own,quite rich,,2375,24,business
23,female,2,rent,little,little,1216,18,car
29,male,2,rent,little,little,11816,45,business
42,female,2,own,,moderate,5084,24,radio/TV
25,female,1,own,little,rich,2327,15,radio/TV
48,male,2,own,little,little,1082,12,car
21,female,2,own,,,886,12,radio/TV
23,female,1,rent,little,,601,4,furniture/equipment
63,male,2,own,little,little,2957,24,car
46,male,2,own,little,,2611,24,radio/TV
29,male,2,own,little,little,5179,36,furniture/equipment
28,male,1,own,little,,2993,21,car
23,female,2,own,little,,1943,18,repairs
50,male,2,own,little,,1559,24,business
47,male,2,own,little,,3422,18,furniture/equipment
35,male,2,own,,moderate,3976,21,furniture/equipment
68,male,2,rent,,,6761,18,car
28,male,2,own,little,,1249,24,car
59,male,2,own,little,little,1364,9,radio/TV
57,male,1,own,little,little,709,12,radio/TV
33,male,2,rent,little,little,2235,20,car
43,male,2,own,,,4042,24,car
35,male,2,free,little,,1471,15,radio/TV
32,male,1,free,little,little,1442,18,car
45,male,2,own,little,,10875,36,car
33,male,2,own,moderate,,1474,24,car
40,female,2,own,,,894,10,education
28,male,2,free,little,,3343,15,furniture/equipment
29,female,2,own,little,little,3959,15,car
26,male,2,rent,moderate,,3577,9,car
27,male,2,own,rich,,5804,24,car
28,male,2,own,little,,2169,18,business
35,female,2,own,little,little,2439,24,radio/TV
32,male,1,own,rich,,4526,27,furniture/equipment
25,male,1,rent,little,,2210,10,furniture/equipment
20,female,2,rent,quite rich,,2221,15,furniture/equipment
27,female,2,own,little,little,2389,18,radio/TV
42,male,2,own,little,,3331,12,furniture/equipment
37,male,2,own,,,7409,36,business
24,female,2,rent,little,little,652,12,furniture/equipment
40,female,2,own,quite rich,,7678,36,furniture/equipment
46,male,2,own,little,rich,1343,6,car
26,male,2,own,moderate,little,1382,24,business
24,female,2,own,,,874,15,domestic appliances
29,male,1,own,little,little,3590,12,furniture/equipment
40,female,2,own,rich,moderate,1322,11,car
36,male,3,free,little,little,1940,18,radio/TV
28,male,2,own,little,,3595,36,radio/TV
27,male,3,free,little,little,1422,9,car
36,male,2,own,,,6742,30,radio/TV
38,male,3,own,little,,7814,24,car
48,male,2,free,,,9277,24,car
36,male,2,own,,moderate,2181,30,car
65,female,0,own,little,,1098,18,radio/TV
43,male,2,own,little,moderate,4057,24,furniture/equipment
53,female,2,own,little,little,795,12,education
34,male,2,own,,moderate,2825,24,business
23,male,2,own,little,moderate,15672,48,business
34,male,3,own,little,,6614,36,car
40,male,2,rent,,,7824,28,car
43,male,3,own,little,little,2442,27,business
46,male,2,own,little,,1829,15,radio/TV
38,male,1,own,little,little,2171,12,car
34,male,2,own,little,moderate,5800,36,car
29,male,2,own,,,1169,18,radio/TV
31,male,3,own,,,8947,36,car
28,female,3,rent,little,little,2606,21,radio/TV
35,female,2,own,rich,,1592,12,furniture/equipment
33,female,1,rent,,,2186,15,furniture/equipment
42,male,2,own,little,little,4153,18,furniture/equipment
43,male,2,rent,little,little,2625,16,car
44,male,2,own,,,3485,20,car
42,male,2,free,,,10477,36,car
40,male,2,rent,,,1386,15,radio/TV
36,male,3,own,little,,1278,24,radio/TV
20,male,3,rent,little,little,1107,12,radio/TV
24,male,1,own,,little,3763,21,car
27,male,2,own,,moderate,3711,36,education
46,female,1,own,little,,3594,15,car
33,female,1,own,,moderate,3195,9,car
34,female,2,own,little,,4454,36,radio/TV
25,female,1,own,little,moderate,4736,24,furniture/equipment
25,female,2,own,,moderate,2991,30,radio/TV
28,male,2,own,rich,,2142,11,business
31,male,2,rent,little,little,3161,24,business
32,female,3,own,little,moderate,18424,48,vacation/others
32,male,2,own,moderate,,2848,10,car
68,male,3,own,little,little,14896,6,car
33,male,2,own,moderate,little,2359,24,furniture/equipment
39,male,3,rent,little,little,3345,24,furniture/equipment
28,female,2,own,little,,1817,18,furniture/equipment
37,male,3,own,quite rich,,12749,48,radio/TV
22,female,2,rent,little,little,1366,9,radio/TV
30,male,2,rent,little,moderate,2002,12,car
55,male,2,own,little,little,6872,24,furniture/equipment
46,male,2,own,little,little,697,12,car
21,female,2,rent,little,little,1049,18,furniture/equipment
39,male,2,free,little,little,10297,48,car
58,male,2,own,,,1867,30,radio/TV
43,male,1,own,little,little,1344,12,car
24,male,1,own,little,little,1747,24,furniture/equipment
22,female,2,own,little,moderate,1670,9,radio/TV
30,male,2,own,little,,1224,9,car
42,male,2,own,quite rich,,522,12,radio/TV
23,female,2,own,little,little,1498,12,radio/TV
30,male,3,own,moderate,moderate,1919,30,radio/TV
28,female,1,own,little,rich,745,9,radio/TV
30,male,3,rent,little,moderate,2063,6,radio/TV
42,male,2,free,little,moderate,6288,60,education
46,male,3,own,,,6842,24,car
45,male,3,own,,,3527,12,car
31,male,1,own,little,,1546,10,car
31,male,2,own,,,929,24,furniture/equipment
42,male,1,own,little,,1455,4,car
46,female,2,rent,little,little,1845,15,furniture/equipment
30,female,2,own,quite rich,moderate,8358,48,car
30,male,2,free,quite rich,little,3349,24,furniture/equipment
38,male,3,own,,,2859,12,car
43,male,1,own,little,,1533,18,furniture/equipment
31,male,2,own,moderate,,3621,24,radio/TV
40,male,0,own,little,moderate,3590,18,business
24,male,2,own,little,little,2145,36,business
28,female,2,rent,quite rich,moderate,4113,24,car
26,female,3,own,little,,10974,36,furniture/equipment
29,female,2,own,little,little,1893,12,car
57,female,3,rent,rich,little,1231,24,radio/TV
49,male,1,own,,rich,3656,30,radio/TV
37,male,1,own,little,moderate,1154,9,radio/TV
45,male,1,own,little,little,4006,28,car
30,male,2,free,moderate,moderate,3069,24,furniture/equipment
30,male,2,rent,little,,1740,6,radio/TV
47,male,2,own,little,moderate,2353,21,car
29,male,2,own,,,3556,15,car
35,male,2,own,quite rich,,2397,24,radio/TV
22,male,1,own,little,moderate,454,6,repairs
26,female,2,own,,moderate,1715,30,radio/TV
23,male,1,own,quite rich,moderate,2520,27,radio/TV
54,female,3,rent,little,,3568,15,radio/TV
29,male,2,rent,,,7166,42,radio/TV
40,male,1,own,little,little,3939,11,car
22,male,2,own,moderate,moderate,1514,15,repairs
43,male,1,own,little,,7393,24,car
29,female,0,rent,little,little,1193,24,car
36,male,2,rent,little,little,7297,60,business
33,female,2,own,little,,2831,30,radio/TV
57,female,1,own,quite rich,rich,1258,24,radio/TV
64,female,2,own,little,moderate,753,6,radio/TV
42,male,2,own,,moderate,2427,18,business
47,male,1,own,little,,2538,24,car
25,male,2,rent,moderate,moderate,1264,15,car
49,male,2,own,little,moderate,8386,30,furniture/equipment
33,male,3,rent,little,,4844,48,business
28,female,3,own,moderate,rich,2923,21,car
26,male,2,own,little,little,8229,36,car
30,male,1,own,little,,2028,24,furniture/equipment
25,female,2,rent,little,little,1433,15,furniture/equipment
33,male,2,own,little,rich,6289,42,business
64,female,2,own,moderate,,1409,13,radio/TV
29,male,3,free,little,little,6579,24,car
48,male,1,own,little,moderate,1743,24,radio/TV
37,male,1,own,,,3565,12,education
34,male,1,own,moderate,,1569,15,radio/TV
23,male,1,rent,,little,1936,18,radio/TV
30,male,3,own,little,little,3959,36,furniture/equipment
50,male,2,own,,,2390,12,car
31,female,1,own,little,,1736,12,furniture/equipment
40,male,3,own,little,little,3857,30,car
38,male,2,own,little,,804,12,radio/TV
23,male,2,free,little,little,1845,45,radio/TV
27,male,2,own,moderate,moderate,4576,45,car
